NEWAGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,GEO_ID
4,9308,4769,4539,0500000US02122
5,6881,3644,3237,0500000US02122
6,2617,1366,1251,0500000US02122
7,690,273,417,0500000US02122
0,13918,7102,6816,0500000US02130
1,3404,1721,1683,0500000US02130
2,4502,2355,2147,0500000US02130
3,1728,860,868,0500000US02130
4,2122,1075,1047,0500000US02130
5,1402,725,677,0500000US02130
6,552,280,272,0500000US02130
7,208,86,122,0500000US02130
0,13345,7096,6249,0500000US02150
1,3743,1966,1777,0500000US02150
2,4897,2670,2227,0500000US02150
3,1517,809,708,0500000US02150
4,1809,985,824,0500000US02150
5,918,471,447,0500000US02150
6,370,169,201,0500000US02150
7,91,26,65,0500000US02150
0,8303,4374,3929,0500000US02158
1,3658,1926,1732,0500000US02158
2,2704,1454,1250,0500000US02158
3,729,384,345,0500000US02158
4,716,390,326,0500000US02158
5,343,169,174,0500000US02158
6,106,37,69,0500000US02158
7,47,14,33,0500000US02158
0,1587,813,774,0500000US02164
1,489,234,255,0500000US02164
2,530,285,245,0500000US02164
3,191,97,94,0500000US02164
4,215,111,104,0500000US02164
5,112,60,52,0500000US02164
6,37,21,16,0500000US02164
7,13,5,8,0500000US02164
0,107610,55867,51743,0500000US02170
1,31345,16277,15068,0500000US02170
2,36053,18935,17118,0500000US02170
3,13124,6840,6284,0500000US02170
4,14274,7401,6873,0500000US02170
5,8766,4392,4374,0500000US02170
6,3186,1650,1536,0500000US02170
7,862,372,490,0500000US02170
0,10008,5267,4741,0500000US02180
1,3760,1933,1827,0500000US02180
2,3435,1809,1626,0500000US02180
3,995,534,461,0500000US02180
4,1044,573,471,0500000US02180
5,545,311,234,0500000US02180
6,186,89,97,0500000US02180
7,43,18,25,0500000US02180
0,9872,6145,3727,0500000US02185
1,2817,1447,1370,0500000US02185
2,3461,2216,1245,0500000US02185
3,1558,1153,405,0500000US02185
4,1363,955,408,0500000US02185
5,481,302,179,0500000US02185
6,144,56,88,0500000US02185
7,48,16,32,0500000US02185
0,7671,4141,3530,0500000US02188
1,2935,1533,1402,0500000US02188
2,2586,1416,1170,0500000US02188
3,831,488,343,0500000US02188
4,758,434,324,0500000US02188
5,333,171,162,0500000US02188
6,162,81,81,0500000US02188
7,66,18,48,0500000US02188
0,3221,1700,1521,0500000US02195
1,737,373,364,0500000US02195
2,938,501,437,0500000US02195
3,417,235,182,0500000US02195
4,514,259,255,0500000US02195
5,417,230,187,0500000US02195
6,149,84,65,0500000US02195
7,49,18,31,0500000US02195
0,6422,3517,2905,0500000US02198
1,1622,888,734,0500000US02198
2,1796,954,842,0500000US02198
3,864,479,385,0500000US02198
4,1044,577,467,0500000US02198
5,794,448,346,0500000US02198
6,247,146,101,0500000US02198
7,55,25,30,0500000US02198
0,8647,4400,4247,0500000US02220
1,2049,1061,988,0500000US02220
2,2937,1514,1423,0500000US02220
3,1039,545,494,0500000US02220
4,1261,643,618,0500000US02220
5,840,411,429,0500000US02220
6,372,173,199,0500000US02220
7,149,53,96,0500000US02220
0,1148,597,551,0500000US02230
1,191,104,87,0500000US02230
2,478,240,238,0500000US02230
3,160,82,78,0500000US02230
4,152,85,67,0500000US02230
5,108,59,49,0500000US02230
6,50,22,28,0500000US02230
7,9,5,4,0500000US02230
0,6918,3815,3103,0500000US02240
1,1878,958,920,0500000US02240
2,2196,1246,950,0500000US02240
3,868,506,362,0500000US02240
4,971,548,423,0500000US02240
5,677,382,295,0500000US02240
6,275,154,121,0500000US02240
7,53,21,32,0500000US02240
0,9164,4803,4361,0500000US02261
1,2341,1160,1181,0500000US02261
2,2813,1483,1330,0500000US02261
3,1173,651,522,0500000US02261
4,1581,838,743,0500000US02261
5,914,511,403,0500000US02261
6,276,141,135,0500000US02261
7,66,19,47,0500000US02261
0,2503,1296,1207,0500000US02275
1,549,273,276,0500000US02275
2,609,314,295,0500000US02275
3,299,155,144,0500000US02275
4,498,262,236,0500000US02275
5,357,195,162,0500000US02275
6,150,85,65,0500000US02275
7,41,12,29,0500000US02275
0,604,335,269,0500000US02282
1,117,54,63,0500000US02282
2,182,107,75,0500000US02282
3,102,57,45,0500000US02282
4,85,48,37,0500000US02282
5,75,47,28,0500000US02282
6,30,19,11,0500000US02282
7,13,3,10,0500000US02282
0,5327,2822,2505,0500000US02290
1,1608,812,796,0500000US02290
2,1633,880,753,0500000US02290
3,541,267,274,0500000US02290
4,735,401,334,0500000US02290
5,542,312,230,0500000US02290
6,200,112,88,0500000US02290
7,68,38,30,0500000US02290
0,71818,35310,36508,0500000US04001
1,21635,10658,10977,0500000US04001
2,21811,11319,10492,0500000US04001
3,8129,3958,4171,0500000US04001
4,9257,4357,4900,0500000US04001
5,6472,3065,3407,0500000US04001
6,3359,1510,1849,0500000US04001
7,1155,443,712,0500000US04001
0,126770,64380,62390,0500000US04003
1,30974,15892,15082,0500000US04003
2,37327,20413,16914,0500000US04003
3,13386,6669,6717,0500000US04003
